StockCode,ProductDescription,TotalRevenue,TotalQuantity,InvoiceCount,RevenueRank,QuantityRank,InvoiceRank
23321,SMALL WHITE HEART OF WICKER,8438.54,4716,629,284.0,275.0,115.0
23322,LARGE WHITE HEART OF WICKER,8878.210000000001,3069,562,266.0,454.5,143.0
23323,WHITE WICKER STAR ,3146.78,1469,294,764.0,941.5,482.5
23324,RUSTIC STRAWBERRY JAM POT LARGE ,816.0400000000001,399,44,1795.0,1920.0,2264.0
23325,RUSTIC STRAWBERRY JAM POT SMALL,740.9399999999999,462,35,1883.0,1815.5,2439.0
23326,HANGING MINI COLOURED BOTTLES,2237.08,3442,76,972.0,393.0,1809.0
23327,HANGING CLEAR MINI BOTTLE,1051.1399999999999,1734,41,1590.0,831.0,2326.0
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,2841,405,158.0,489.5,290.0
23329,DECORATIVE WICKER HEART LARGE,3038.19,1767,233,779.0,818.0,664.5
23330,DECORATIVE WICKER HEART MEDIUM,2286.97,1794,216,959.0,807.5,738.0
23331,DECORATIVE WICKER HEART SMALL,1062.28,1596,109,1576.0,892.5,1432.0
23332,IVORY WICKER HEART LARGE,3542.71,2059,287,695.0,690.5,503.0
23333,IVORY WICKER HEART MEDIUM,2695.45,2089,233,857.0,682.0,664.5
23334,IVORY WICKER HEART SMALL,1491.75,2271,130,1305.0,630.0,1255.5
23335,EGG FRYING PAN IVORY ,790.7800000000001,377,96,1816.0,1947.5,1578.5
23336,EGG FRYING PAN PINK ,519.25,225,85,2188.0,2263.0,1689.0
23337,EGG FRYING PAN MINT ,388.75,180,69,2374.0,2398.5,1903.0
23338,EGG FRYING PAN RED ,915.4000000000001,431,109,1703.0,1861.5,1432.0
23339,EGG FRYING PAN BLUE ,400.84000000000003,173,76,2357.0,2418.5,1809.0
23340,VINTAGE CHRISTMAS CAKE FRILL,4034.08,2500,151,616.0,560.0,1080.0
23341,PINK DINER WALL CLOCK,2741.35,307,121,842.0,2078.5,1324.5
23342,MINT DINER WALL CLOCK,3176.41,373,163,761.0,1951.5,992.5
23343,JUMBO BAG VINTAGE CHRISTMAS ,13972.710000000001,6078,476,144.0,193.0,199.0
23344,JUMBO BAG 50'S CHRISTMAS ,23772.07,10285,716,60.0,85.0,88.0
23345, DOLLY GIRL BEAKER,2886.25,2451,174,810.0,577.5,928.5
23346,SPACEBOY BEAKER,3112.34,2628,184,770.0,533.5,892.0
23347,I LOVE LONDON BEAKER,1077.3,860,97,1567.0,1363.5,1570.5
23348,CHILDRENS TOY COOKING UTENSIL SET,1633.81,746,168,1221.0,1471.5,961.5
23349,ROLL WRAP VINTAGE CHRISTMAS,4342.6,3221,337,578.0,430.0,398.5
23350,ROLL WRAP VINTAGE SPOT ,3445.08,2712,305,710.0,517.0,459.0
23351,ROLL WRAP 50'S CHRISTMAS,4875.65,3535,354,520.0,385.0,370.0
23352,ROLL WRAP 50'S RED CHRISTMAS ,2459.2,1800,212,911.0,801.0,761.0
23353,6 GIFT TAGS VINTAGE CHRISTMAS ,3510.05,4007,327,700.0,333.0,418.5
23354,6 GIFT TAGS 50'S CHRISTMAS ,3429.4,3740,322,718.0,369.0,430.0
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,782,35.0,212.0,73.0
23356,LOVE HOT WATER BOTTLE,13334.32,2359,476,153.0,606.0,199.0
23357,HOT WATER BOTTLE SEX BOMB,1982.05,450,102,1078.0,1839.5,1502.5
23358,HOT STUFF HOT WATER BOTTLE,2008.38,594,89,1064.0,1629.5,1642.0
23359,SET OF 12 T-LIGHTS VINTAGE DOILY,1866.4599999999998,990,79,1121.0,1244.5,1763.5
23360,SET 8 CANDLES VINTAGE DOILY,2286.4,1182,114,960.0,1109.0,1379.0
23365,SET 12 COLOUR PENCILS LOVE LONDON,1463.08,1857,169,1319.0,780.5,956.0
23366,SET 12 COLOURING PENCILS DOILY,1667.95,2249,195,1203.0,635.0,842.0
23367,SET 12 COLOUR PENCILS SPACEBOY ,2491.2,3278,282,907.0,421.0,512.5
23368,SET 12 COLOUR PENCILS DOLLY GIRL ,1679.55,2379,232,1197.0,599.5,669.5
23369,SET 36 COLOUR PENCILS LOVE LONDON,1581.06,1105,126,1256.0,1166.0,1284.0
23370,SET 36 COLOURING PENCILS DOILY,2151.6,1550,151,1007.0,909.0,1080.0
23371,SET 36 COLOUR PENCILS SPACEBOY ,2304.78,1705,185,951.0,846.0,885.5
23372,SET 36 COLOUR PENCILS DOLLY GIRL,1750.29,1389,147,1164.0,981.0,1105.5
23373,VINTAGE CHRISTMAS PAPER GIFT BAG,1313.3899999999999,1608,100,1411.0,885.5,1529.0
23374,RED SPOT PAPER GIFT BAG,1962.83,2456,131,1086.0,574.5,1244.0
23375,50'S CHRISTMAS PAPER GIFT BAG,1100.6899999999998,1342,103,1555.0,1011.5,1490.5
23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,1384.9099999999999,3039,155,1367.0,461.0,1052.5
23377,PACK OF 12 DOLLY GIRL TISSUES,592.4499999999999,1351,133,2075.0,1006.5,1223.5
23378,PACK OF 12 50'S CHRISTMAS TISSUES,1840.08,3997,176,1132.0,334.0,920.5
23379,PACK OF 12 RED APPLE TISSUES,465.36,1220,76,2261.0,1090.5,1809.0
23380,PACK OF 12 VINTAGE DOILY TISSUES,983.5,2344,121,1647.0,610.0,1324.5
23381,PACK OF 12 VINTAGE LEAF TISSUES ,562.88,1496,80,2119.0,929.0,1749.5
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,7356.18,1875,220,327.0,772.0,721.0
23388,WOODLAND MINI BACKPACK,3432.09,821,154,717.0,1400.5,1061.5
23389,SPACEBOY MINI BACKPACK,4751.49,1115,237,533.0,1160.0,653.0
23390,DOLLY GIRL MINI BACKPACK,3025.59,747,163,781.0,1468.5,992.5
23391, I LOVE LONDON MINI BACKPACK,1628.17,389,87,1225.0,1931.5,1668.5
23392,SPACEBOY ROCKET LOLLY MAKERS,1475.03,662,113,1315.0,1556.5,1387.0
23393,HOME SWEET HOME CUSHION COVER ,3207.91,801,229,756.0,1427.0,679.5
23394,POSTE FRANCE CUSHION COVER,1877.65,435,150,1116.0,1857.0,1085.5
23395,BELLE JARDINIERE CUSHION COVER,3257.08,748,210,747.0,1467.0,772.0
23396,LE JARDIN BOTANIQUE CUSHION COVER,2750.5299999999997,654,196,839.0,1566.0,835.0
23397,FOOT STOOL HOME SWEET HOME ,5097.65,489,217,494.0,1774.5,733.5
23398,HANGING HEART BONHEUR,535.35,606,69,2161.0,1619.0,1903.0
23399,HOME SWEET HOME HANGING HEART,1745.55,1914,225,1166.0,754.0,694.5
23400,SHELF WITH 4 HOOKS HOME SWEET HOME,2409.34,461,107,922.0,1819.0,1444.5
23401,RUSTIC MIRROR WITH LACE HEART,2354.87,459,83,943.0,1823.5,1712.0
23402,HOME SWEET HOME 3 PEG HANGER ,1147.28,296,68,1507.0,2105.0,1916.5
23403,LETTER HOLDER HOME SWEET HOME,2204.11,625,134,986.0,1599.0,1213.5
23404,HOME SWEET HOME BLACKBOARD,4561.76,1011,169,557.0,1224.0,956.0
23405,HOME SWEET HOME 2 DRAWER CABINET,1311.48,252,70,1413.0,2199.0,1889.0
23406,HOME SWEET HOME KEY HOLDER,2422.6600000000003,456,111,916.0,1829.0,1409.0
23407,SET OF 2 TRAYS HOME SWEET HOME,2709.43,265,133,851.0,2169.0,1223.5
23408,PHOTO FRAME LINEN AND LACE SMALL,644.8000000000001,310,59,2001.0,2073.5,2031.5
23409,PHOTO FRAME LINEN AND LACE LARGE,801.68,215,43,1805.0,2295.5,2283.5
23410,CURIO CABINET LINEN AND LACE ,290.1,36,18,2531.0,3091.0,2879.5
23411, TRELLIS COAT RACK,1118.6100000000001,227,56,1532.0,2256.0,2073.0
23412,HEART MIRROR ANTIQUE WHITE,2354.8,358,76,944.0,1979.5,1809.0
23413,VINTAGE COFFEE GRINDER BOX,909.31,173,58,1707.0,2418.5,2045.0
23414,ZINC BOX SIGN HOME,1378.75,141,64,1373.0,2534.5,1964.5
23415,HOME SWEET HOME HOOK,412.18,328,47,2343.0,2035.0,2208.0
23416,CHAMBRE HOOK,184.68,132,25,2763.0,2560.0,2686.0
23417,BATHROOM HOOK,157.5,146,27,2841.5,2512.5,2630.0
23418,LAVENDER TOILETTE BOTTLE,1166.0,557,79,1489.0,1689.0,1763.5
23419,HOME SWEET HOME BOTTLE ,1043.72,473,86,1593.0,1798.0,1678.0
23420,PANTRY HOOK TEA STRAINER ,351.37,164,32,2428.0,2450.5,2512.5
23421,PANTRY HOOK SPATULA,349.2,160,33,2435.0,2467.0,2486.0
23422,PANTRY HOOK BALLOON WHISK ,477.89,213,47,2245.0,2301.5,2208.0
23423,PANTRY 3 HOOK ROLLING PIN HANGER,876.9,219,66,1745.0,2281.0,1938.5
23424,GINGHAM RECIPE BOOK BOX,2509.62,462,135,903.0,1815.5,1204.0
23425,STORAGE TIN HOME SWEET HOME,621.44,275,56,2036.0,2145.0,2073.0
23426,METAL SIGN DROP YOUR PANTS,3444.43,1275,206,711.0,1050.0,791.0
23427,STOOL HOME SWEET HOME ,2860.58,237,114,817.0,2238.0,1379.0
23428,IVORY RETRO KITCHEN WALL CLOCK,675.91,77,33,1966.0,2800.5,2486.0
23429,RED RETRO KITCHEN WALL CLOCK,400.01,47,23,2359.0,2993.0,2736.5
23430,BLUE RETRO KITCHEN WALL CLOCK,301.88,36,18,2517.0,3091.0,2879.5
23431,NATURAL HANGING QUILTED HEARTS ,1171.23,1449,72,1485.0,953.0,1864.0
23432,PRETTY HANGING QUILTED HEARTS,1088.3600000000001,1276,74,1560.0,1049.0,1836.5
23433,HANGING QUILTED PATCHWORK APPLES,1108.5800000000002,1258,89,1544.0,1063.0,1642.0
23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,1884.17,2095,199,1112.0,679.0,816.0
23435,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,732.4200000000001,824,99,1893.0,1396.0,1543.0
23436,VINTAGE CHRISTMAS GIFT BAG LARGE ,2367.39,1979,114,940.0,721.0,1379.0
23437, 50'S CHRISTMAS GIFT BAG LARGE,2373.63,1939,131,936.0,739.0,1244.0
23438, RED SPOT GIFT BAG LARGE,2209.92,1809,109,983.0,800.0,1432.0
23439,HAND WARMER RED LOVE HEART,8855.51,3986,397,268.0,336.0,296.0
23440,PAINT YOUR OWN EGGS IN CRATE,299.36,164,5,2522.0,2450.5,3437.0
23441,HAND PAINTED HANGING EASTER EGG,9.24,22,3,3731.0,3265.5,3589.0
23442,12 HANGING EGGS HAND PAINTED,83.2,40,7,3106.0,3052.5,3323.5
23444,Next Day Carriage,1200.0,79,79,1472.0,2782.0,1763.5
23445,ICE CREAM BUBBLES,2161.24,2668,101,999.0,527.0,1515.0
23446,BLUE BUNNY EASTER EGG BASKET,230.25,157,3,2659.0,2483.5,3589.0
23447,PINK BUNNY EASTER EGG BASKET,231.9,158,4,2654.0,2479.0,3506.0
23448,CREAM BUNNY EASTER EGG BASKET,41.25,25,3,3372.0,3225.0,3589.0
23449,SET OF 6 EASTER RAINBOW CHICKS,15.0,12,1,3642.5,3452.0,3837.0
23451,SQUARE MINI PORTRAIT FRAME,556.17,277,52,2132.0,2141.0,2122.5
23452,HEART MINI PORTRAIT FRAME,1021.76,518,87,1616.0,1734.0,1668.5
23453,OVAL  MINI PORTRAIT FRAME,615.98,316,47,2047.0,2063.0,2208.0
23454,THREE MINI HANGING FRAMES,733.2,174,52,1892.0,2415.0,2122.5
23455,SMALL PARLOUR PICTURE FRAME,569.4300000000001,207,35,2108.0,2314.5,2439.0
23456,MEDIUM PARLOUR PICTURE FRAME ,634.1,158,36,2013.0,2479.0,2417.5
23457,LARGE PARLOUR PICTURE FRAME,549.88,112,31,2145.0,2626.0,2534.0
23458,DOLLY CABINET 3 DRAWERS ,762.4499999999999,51,30,1853.0,2967.5,2556.0
23459,DOLLY CABINET 2 DRAWERS ,412.5,33,19,2340.0,3124.0,2848.5
23460,SWEETHEART WALL TIDY ,1007.0799999999999,108,43,1627.0,2639.5,2283.5
23461,SWEETHEART BIRD HOUSE,3041.21,847,94,777.0,1374.0,1598.0
23462,ROCOCO WALL MIRROR WHITE,1607.04,80,46,1239.0,2775.5,2225.5
23463,VINTAGE ZINC WATERING CAN,139.39999999999998,13,8,2901.0,3425.5,3262.0
23464,VINTAGE ZINC WATERING CAN SMALL,99.2,18,8,3045.0,3328.5,3262.0
23465,TUSCAN VILLA BIRD FEEDER,247.63,29,16,2617.0,3170.5,2937.0
23466,TUSCAN VILLA DOVECOTE BIRD FEEDER,498.03,55,27,2219.0,2931.0,2630.0
23467,VINTAGE ZINC PLANTER  ,120.08,32,11,2964.0,3135.5,3112.5
23468,TUSCAN VILLA BIRD TABLE ,156.75,19,11,2845.0,3313.0,3112.5
23469,CARD HOLDER LOVE BIRD SMALL,1355.24,332,72,1386.0,2026.0,1864.0
23470,CARD HOLDER LOVE BIRD LARGE ,1460.5,232,84,1323.0,2246.5,1699.0
23471,SIX DRAWER OFFICE TIDY,616.79,65,27,2046.0,2873.0,2630.0
23472, NINE DRAWER OFFICE TIDY,894.42,58,33,1729.0,2912.0,2486.0
23473,WOODLAND SMALL RED FELT HEART,552.02,678,51,2139.0,1546.0,2136.5
23474,WOODLAND SMALL BLUE FELT HEART,270.96000000000004,312,37,2568.0,2071.0,2398.0
23475,WOODLAND SMALL PINK FELT HEART,242.18,286,31,2633.0,2125.0,2534.0
23476,WOODLAND LARGE RED FELT HEART,264.72,205,22,2589.0,2319.5,2761.5
23477,WOODLAND LARGE BLUE FELT HEART,123.47,92,13,2951.0,2726.0,3043.5
23478,WOODLAND LARGE PINK FELT HEART,324.40000000000003,285,13,2472.0,2129.0,3043.5
23479,WIRE EGG BASKET ,872.38,113,44,1748.0,2622.5,2264.0
23480,MINI LIGHTS WOODLAND MUSHROOMS,6719.14,1798,215,378.0,803.5,741.0
23481,PEARLISED IVORY HEART SMALL ,281.17,228,29,2550.0,2252.5,2577.0
23482,PEARLISED IVORY HEART LARGE ,661.02,418,39,1985.0,1882.0,2362.0
23483,HANGING  BUTTERFLY T-LIGHT HOLDER,1636.36,1328,73,1219.0,1022.0,1851.5
23484,HEART TRELLIS TRIPLE T-LIGHT HOLDER,547.35,185,35,2149.0,2380.5,2439.0
23485,BOTANICAL GARDENS WALL CLOCK ,5843.92,262,83,435.0,2180.5,1712.0
23486,ANTIQUE HEART SHELF UNIT,4145.47,275,74,599.0,2145.0,1836.5
23487,SWEET HEART CAKE CARRIER,795.5799999999999,80,44,1810.0,2775.5,2264.0
23489,VINTAGE BELLS GARLAND,2709.23,913,159,852.0,1317.0,1025.5
23490,T-LIGHT HOLDER HANGING LOVE BIRD,2032.77,542,101,1052.0,1705.5,1515.0
23491,VINTAGE JINGLE BELLS HEART,1897.76,228,78,1107.0,2252.5,1780.5
23492,VINTAGE JINGLE BELLS WREATH,635.38,76,28,2011.0,2808.0,2601.0
23493,VINTAGE DOILY TRAVEL SEWING KIT,8497.98,3964,415,281.0,339.0,272.5
23494,VINTAGE DOILY DELUXE SEWING KIT ,5354.01,809,205,472.0,1419.5,797.5
23495,SET OF 3 PANTRY WOODEN SPOONS,306.66,225,41,2511.0,2263.0,2326.0
23496,PANTRY KITCHEN THERMOMETER ,154.52,112,31,2851.0,2626.0,2534.0
23497,CLASSIC CHROME BICYCLE BELL ,3656.02,2558,195,674.0,547.0,842.0
23498,CLASSIC BICYCLE CLIPS ,2372.68,1640,99,937.0,869.5,1543.0
23499,SET 12 VINTAGE DOILY CHALK ,586.23,1312,110,2082.0,1032.5,1421.5
23500,KEY RING BASEBALL BOOT ASSORTED ,2038.33,1626,98,1050.0,876.0,1558.0
23501,KEY RING BASEBALL BOOT UNION JACK,2217.87,1821,112,978.0,797.0,1396.5
23502,PLAYING CARDS VINTAGE DOILY ,896.41,714,94,1722.0,1504.0,1598.0
23503,PLAYING CARDS KEEP CALM & CARRY ON,4860.55,3643,335,522.0,377.0,402.0
23504,PLAYING CARDS JUBILEE UNION JACK,2848.8900000000003,1927,208,820.0,750.0,784.5
23505,PLAYING CARDS I LOVE LONDON ,1651.29,1200,115,1212.0,1101.0,1369.5
23506,MINI PLAYING CARDS SPACEBOY ,1129.1200000000001,2723,146,1527.0,515.0,1114.0
23507,MINI PLAYING CARDS BUFFALO BILL ,1155.67,2882,119,1501.0,480.5,1345.0
23508,MINI PLAYING CARDS DOLLY GIRL ,1163.45,2627,120,1492.0,535.0,1334.5
23509,MINI PLAYING CARDS FUN FAIR ,451.46000000000004,1062,65,2277.0,1191.0,1952.5
23510,MINI PLAYING CARDS GYMKHANA,1118.8,2521,120,1531.0,556.0,1334.5
23511,EMBROIDERED RIBBON REEL EMILY ,1252.01,571,98,1442.0,1666.0,1558.0
23512,EMBROIDERED RIBBON REEL ROSIE,975.24,500,57,1654.0,1760.0,2059.0
23513,EMBROIDERED RIBBON REEL SUSIE ,1114.26,566,70,1538.0,1676.5,1889.0
23514,EMBROIDERED RIBBON REEL SALLY ,977.39,478,74,1652.0,1789.0,1836.5
23515,EMBROIDERED RIBBON REEL DAISY ,1164.98,579,71,1491.0,1656.5,1876.0
23516,EMBROIDERED RIBBON REEL SOPHIE  ,1058.6,296,42,1581.0,2105.0,2303.5
23517,EMBROIDERED RIBBON REEL REBECCA ,996.38,334,63,1637.0,2020.5,1975.0
23518,EMBROIDERED RIBBON REEL RACHEL ,980.41,361,44,1649.0,1973.0,2264.0
23519,EMBROIDERED RIBBON REEL CLAIRE,792.31,224,24,1814.0,2268.5,2715.5
23520,EMBROIDERED RIBBON REEL RUBY ,600.55,167,32,2067.0,2444.5,2512.5
23521,WALL ART CAT AND BIRD ,793.37,413,44,1812.0,1891.5,2264.0
23522,WALL ART DOG AND BALL ,727.4399999999999,354,32,1899.0,1984.0,2512.5
23523,WALL ART TREASURE AHOY ,1173.81,360,41,1484.0,1976.0,2326.0
23524,WALL ART HORSE & PONY ,1557.63,481,63,1270.0,1782.5,1975.0
23525,WALL ART BUFFALO BILL ,1863.8200000000002,582,53,1123.0,1649.5,2109.0
23526,WALL ART DOG LICENCE ,6021.400000000001,1012,143,423.0,1222.5,1139.0
23527,WALL ART ANIMALS AND NATURE ,1428.56,420,48,1336.0,1878.5,2190.0
23528,WALL ART SPACEBOY,1504.49,479,50,1297.0,1786.0,2154.5
23529,WALL ART DOLLY GIRL ,2011.9900000000002,637,37,1062.0,1589.0,2398.0
23530,WALL ART ONLY ONE PERSON ,4436.27,1056,87,574.0,1196.0,1668.5
23531,WALL ART BIG LOVE ,5538.26,976,112,457.0,1252.5,1396.5
23532,WALL ART WORK REST AND PLAY  ,901.58,210,31,1715.0,2309.0,2534.0
23533,WALL ART GARDEN HAVEN ,998.64,215,36,1636.0,2295.5,2417.5
23534,WALL ART STOP FOR TEA ,8608.9,1387,260,275.0,983.5,576.5
23535,WALL ART BICYCLE SAFETY,8440.24,1324,215,283.0,1025.0,741.0
23536,WALL ART VILLAGE SHOW ,3442.13,626,85,714.0,1598.0,1689.0
23537,WALL ART I LOVE LONDON ,581.13,111,34,2090.0,2630.0,2460.5
23538,WALL ART VINTAGE HEART,1329.54,331,32,1403.0,2028.5,2512.5
23539,WALL ART LOVES' SECRET ,1227.95,247,41,1454.0,2217.5,2326.0
23540,WALL ART THE MAGIC FOREST ,947.0600000000001,150,14,1679.0,2499.0,3006.0
23541,WALL ART CLASSIC PUDDINGS ,6823.91,872,152,369.0,1350.0,1073.5
23542,WALL ART 70'S ALPHABET ,3800.16,506,89,652.0,1750.0,1642.0
23543,WALL ART KEEP CALM ,7010.76,1236,103,352.0,1078.0,1490.5
23544,WALL ART MID CENTURY MODERN ,1015.78,164,20,1622.0,2450.5,2817.0
23545,WRAP RED VINTAGE DOILY,1025.6,2480,84,1608.0,563.5,1699.0
23546,WRAP PAISLEY PARK ,1365.0,3250,120,1380.0,425.0,1334.5
23547,WRAP FLOWER SHOP  ,661.5,1575,62,1984.0,901.0,1993.0
23548,WRAP MAGIC FOREST ,451.5,1075,43,2276.0,1180.0,2283.5
23549,WRAP BIRD GARDEN ,548.1,1305,52,2147.0,1036.0,2122.5
23550,WRAP ALPHABET POSTER  ,763.1,1855,64,1851.0,782.5,1964.5
23551,PACK OF 12 PAISLEY PARK TISSUES ,839.8399999999999,1840,136,1775.0,789.5,1193.5
23552,BICYCLE PUNCTURE REPAIR KIT ,3881.91,1863,116,636.0,779.0,1362.0
23553,LANDMARK FRAME CAMDEN TOWN ,6444.65,568,68,394.0,1670.0,1916.5
23554,LANDMARK FRAME OXFORD STREET,4805.53,422,57,527.0,1873.5,2059.0
23555,LANDMARK FRAME NOTTING HILL ,4780.57,421,50,529.0,1875.5,2154.5
23556,LANDMARK FRAME COVENT GARDEN ,4937.01,436,53,513.0,1856.0,2109.0
23557,LANDMARK FRAME BAKER STREET ,3930.27,350,32,630.0,1990.5,2512.5
23558,LANDMARK FRAME LONDON BRIDGE ,4703.87,415,52,541.0,1885.0,2122.5
23559,WOODLAND BUNNIES LOLLY MAKERS,1482.41,649,124,1312.0,1571.5,1304.5
23560,SET OF 6 RIBBONS COUNTRY STYLE,499.18,172,26,2215.0,2422.5,2655.5
23561,SET OF 6 RIBBONS PARTY,476.0,170,16,2249.0,2432.0,2937.0
23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,724.59,251,43,1906.0,2203.5,2283.5
23564,EGG CUP MILKMAID INGRID,841.31,644,76,1769.0,1578.0,1809.0
23565,EGG CUP MILKMAID HELGA ,586.31,410,63,2081.0,1898.5,1975.0
23566,EGG CUP MILKMAID HEIDI,1156.93,881,83,1499.0,1339.5,1712.0
23567,EGG CUP HENRIETTA HEN PINK,291.58,211,37,2529.0,2306.5,2398.0
23568,EGG CUP HENRIETTA HEN CREAM ,787.52,630,48,1818.0,1594.5,2190.0
23569,TRADTIONAL ALPHABET STAMP SET,4717.66,954,192,538.0,1274.5,855.0
23570,TRADITIONAL PICK UP STICKS GAME ,4931.87,2772,276,515.0,503.0,529.5
23571,TRADITIONAL NAUGHTS & CROSSES,6406.91,2841,257,399.0,489.5,584.5
23574,PACKING CHARGE,105.0,14,14,3021.0,3401.0,3006.0
23575,SNACK TRAY PAISLEY PARK,367.34999999999997,179,32,2404.0,2402.5,2512.5
23576,SNACK TRAY RED VINTAGE DOILY,400.03999999999996,198,37,2358.0,2337.5,2398.0
23578,SNACK TRAY RED GINGHAM,125.72,60,14,2947.0,2903.0,3006.0
23579,SNACK TRAY I LOVE LONDON,358.75,169,35,2418.0,2437.0,2439.0
23580,SNACK TRAY HAPPY FOREST  ,234.92,116,25,2645.0,2615.5,2686.0
23581,JUMBO BAG PAISLEY PARK,11581.83,5020,338,186.0,252.0,396.5
23582,VINTAGE DOILY JUMBO BAG RED ,10206.41,4802,259,219.0,267.0,579.5
23583,LUNCH BAG PAISLEY PARK  ,5497.33,3385,325,463.0,403.0,423.5
23597,PAPER BUNTING PAISLEY PARK,679.07,249,31,1960.0,2212.0,2534.0
23598,PAPER BUNTING VINTAGE PARTY,1215.53,427,47,1463.0,1868.5,2208.0
23601,SET 10 CARDS SNOWY SNOWDROPS  17100,19.92,8,4,3573.0,3563.5,3506.0
23602,SET 10 CARDS 3 WISE MEN 17107,2.91,1,1,3870.0,3874.5,3837.0
23603,SET 10 CARD KRAFT REINDEER 17084,49.800000000000004,20,14,3307.0,3295.0,3006.0
23604,SET 10 MINI SANTA & SNOWMAN  17087,6.640000000000001,4,2,3787.0,3698.0,3698.0
23605,SET 10 CARDS 12 DAYS OF XMAS 17059,11.64,4,1,3701.5,3698.0,3837.0
23607,SET 10 CARDS HATS & STOCKINGS 17081,13.28,8,7,3672.0,3563.5,3323.5
23608,SET 10 CARDS RUDOLPHS NOSE 17097,11.64,4,3,3701.5,3698.0,3589.0
23609,SET 10 CARDS SNOWY ROBIN 17099,2.91,1,1,3870.0,3874.5,3837.0
23610,SET 10 CARDS CHRISTMAS ROBIN 17095,6.24,3,3,3796.0,3743.0,3589.0
23611,SET 10 CARDS RED RIDING HOOD 17214,99.60000000000001,40,16,3042.5,3052.5,2937.0
23612,SET 10 MINICARDS CUTE SNOWMAN 17071,8.299999999999999,5,2,3758.0,3653.0,3698.0
23613,SET 10 XMAS CARDS & BADGES 17070,27.39,11,6,3494.5,3477.0,3376.5
23614,SET 10 CARDS 12 DAYS WRAP  17058,86.58,26,11,3094.0,3210.5,3112.5
23615,SET 10 CARDS PRINTED GRAPHIC 17219,9.96,4,4,3721.5,3698.0,3506.0
23616,SET 10 CARDS JINGLE BELLS 17217,19.92,8,7,3573.0,3563.5,3323.5
23617,SET 10 CARDS SWIRLY XMAS TREE 17104,5.82,2,1,3803.0,3800.5,3837.0
23619,SET 10 CARDS POINSETTIA 17093,9.96,4,2,3721.5,3698.0,3698.0
23620,SET 10 CARDS PERFECT POST 17090,24.900000000000002,10,7,3519.0,3502.5,3323.5
23621,SET 10 CARDS DAVID'S MADONNA 17074,14.940000000000001,6,4,3648.0,3613.0,3506.0
23623,SET 10 CARD CHRISTMAS WELCOME 17112,23.28,8,6,3541.0,3563.5,3376.5
23624,SET 10 CARD PERFECT NATIVITY 17089,9.96,4,4,3721.5,3698.0,3506.0
23625,SET 6 CARDS SPARKLY REINDEER 17262,44.910000000000004,9,4,3342.0,3532.5,3506.0
23626,SET 10 CARDS DINKY TREE 17076,107.07000000000001,43,16,3012.0,3027.0,2937.0
23627,SET 10 CARDS XMAS GRAPHIC  17218,17.43,7,2,3602.0,3588.5,3698.0
23628,SET 10 CARDS TRIANGLE ICONS  17220,2.91,1,1,3870.0,3874.5,3837.0
23629,SET 10 CARDS DRESSING UP 17077,59.760000000000005,24,10,3238.0,3242.0,3156.5
23630,SET 10 CARDS HANGING BAUBLES 17080,5.48,2,2,3807.0,3800.5,3698.0
23632,SET 10 CARDS CHEERFUL ROBIN 17065,31.200000000000003,15,10,3451.0,3379.5,3156.5
23633,SET 10 CARDS WORLD CHILDREN 17067,7.470000000000001,3,3,3773.5,3743.0,3589.0
23634,SET 10 CARDS XMAS CHOIR 17068,14.55,5,5,3655.0,3653.0,3437.0
23635,SET 10 CARDS CHRISTMAS HOLLY  17259,12.48,3,3,3685.5,3743.0,3589.0
23636,SET 10 CARDS WISHING TREE 17116,26.19,9,7,3506.0,3532.5,3323.5
23637,SET 10 CARDS OUT OF ORDER 17216,27.39,11,9,3494.5,3477.0,3204.5
23638,SET 10 CARDS ROBIN WATERPUMP  17096,5.82,2,2,3803.0,3800.5,3698.0
23639,SET 10 CARDS MAGICAL TREE 17086,13.32,4,4,3671.0,3698.0,3506.0
23640,SET 10 CARDS SCOTTIE DOG 17211,22.410000000000004,9,8,3552.5,3532.5,3262.0
23643,SET 10 CARDS CHRISTMAS BAUBLE 16954,3.33,1,1,3864.0,3874.5,3837.0
23644,SET 10 CARDS CHRISTMAS TREE 16955,16.65,5,5,3617.0,3653.0,3437.0
23645,SET 10 CHRISTMAS CARDS HOHOHO 16956,22.410000000000004,9,4,3552.5,3532.5,3506.0
23646,SET 10 CARDS JINGLE BELLS 16957,19.92,8,5,3573.0,3563.5,3437.0
23649,SET 10 CARDS DECK THE HALLS 16960,4.98,2,2,3817.0,3800.5,3698.0
23650,SET 10 CARDS FILIGREE BAUBLE 16961,9.96,4,4,3721.5,3698.0,3506.0
23652,SET 10 CARD CHRISTMAS STAMPS 16963,5.82,2,1,3803.0,3800.5,3837.0
23654,SET 10 CARD SNOWMAN 16965,12.450000000000001,5,4,3687.0,3653.0,3506.0
23660,HENRIETTA HEN MUG ,534.66,306,42,2164.5,2080.5,2303.5
23661,MILK MAIDS MUG ,393.59000000000003,219,33,2365.0,2281.0,2486.0
